IPN,Datasheets,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Foorprint Ref 2,Footprint Path 2,Foorprint Ref 3,Footprint Path 3,Series,Part Status,Value,Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height - Seated (Max)
RES-YAG-060300009,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-10.0HRCT-ND,RC0603FR-0710RL,Yageo,RES SMD 10 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,10R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,200ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300010,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-1.00HRCT-ND,RC0603FR-071RL,Yageo,RES SMD 1 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,1R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,200ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300011,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-0.0HRCT-ND,RC0603FR-070RL,Yageo,RES SMD 0 OHM JUMPER 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,0R,Jumper,"0.1W, 1/10W",Thick Film,Moisture Resistant,-,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300012,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-4.7KGRCT-ND,RC0603JR-074K7L,Yageo,RES SMD 4.7K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,4.7k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300013,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-100KGRCT-ND,RC0603JR-07100KL,Yageo,RES SMD 100K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,100k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300014,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-100KHRCT-ND,RC0603FR-07100KL,Yageo,RES SMD 100K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,100k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300015,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-4.70KHRCT-ND,RC0603FR-074K7L,Yageo,RES SMD 4.7K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,4.7k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300016,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-2.20KHRCT-ND,RC0603FR-072K2L,Yageo,RES SMD 2.2K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,2.2k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300017,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-49.9HRCT-ND,RC0603FR-0749R9L,Yageo,RES SMD 49.9 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,49.9R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300018,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-2.00KHRCT-ND,RC0603FR-072KL,Yageo,RES SMD 2K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,2k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300019,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-33.0HRCT-ND,RC0603FR-0733RL,Yageo,RES SMD 33 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,33R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300020,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-15.0KHRCT-ND,RC0603FR-0715KL,Yageo,RES SMD 15K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,15k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300021,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-20.0KHRCT-ND,RC0603FR-0720KL,Yageo,RES SMD 20K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,20k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300022,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-470HRCT-ND,RC0603FR-07470RL,Yageo,RES SMD 470 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,470R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300023,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-330HRCT-ND,RC0603FR-07330RL,Yageo,RES SMD 330 OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,330R,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300024,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-3.30KHRCT-ND,RC0603FR-073K3L,Yageo,RES SMD 3.3K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,3.3k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300025,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-4.99KHRCT-ND,RC0603FR-074K99L,Yageo,RES SMD 4.99K OHM 1% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,4.99k,1%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300026,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,YAG2294CT-ND,RC0603JR-10100KL,Yageo,RES SMD 100K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,100k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300027,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-470GRCT-ND,RC0603JR-07470RL,Yageo,RES SMD 470 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,470R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300028,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-100GRCT-ND,RC0603JR-07100RL,Yageo,RES SMD 100 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,100R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300029,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-2.2KGRCT-ND,RC0603JR-072K2L,Yageo,RES SMD 2.2K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,2.2k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300030,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-330GRCT-ND,RC0603JR-07330RL,Yageo,RES SMD 330 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,330R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300031,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-220GRCT-ND,RC0603JR-07220RL,Yageo,RES SMD 220 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,220R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300032,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-3.3KGRCT-ND,RC0603JR-073K3L,Yageo,RES SMD 3.3K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,3.3k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300033,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-1.0MGRCT-ND,RC0603JR-071ML,Yageo,RES SMD 1M OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,1M,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300034,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-33GRCT-ND,RC0603JR-0733RL,Yageo,RES SMD 33 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,33R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300035,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-22GRCT-ND,RC0603JR-0722RL,Yageo,RES SMD 22 OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,22R,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300036,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-470KGRCT-ND,RC0603JR-07470KL,Yageo,RES SMD 470K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,470k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
RES-YAG-060300037,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_10.pdf,311-20KGRCT-ND,RC0603JR-0720KL,Yageo,RES SMD 20K OHM 5% 1/10W 0603,Resistor,SchLib\Resistor.SchLib,0603_RESC1608X06N,PcbLib\Resistor.PcbLib,0603_RESC1608X06M,PcbLib\Resistor.PcbLib,0603_RESC1608X06L,PcbLib\Resistor.PcbLib,RC,Active,20k,5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,100ppm/°C,-55°C ~ 155°C,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)"
